regime,method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_structure_rel_rmse,stage_rotation_error_deg,stage_structure_rel_rmse,rotation_error_deg,translation_error_m,structure_rmse_m,structure_rel_rmse,cost,nfev
uav_oblique,xyz_uv_joint,0.0,0,True,False,21.999374803957895,0.7000000000000012,0.004672552033404732,nan,nan,21.99555785431209,8.503230373110863,0.12920509898744856,0.004672552031521312,267512.30667199823,20
uav_oblique,xyz_polar_cov_joint,0.0,0,True,False,21.999374803957895,0.7000000000000012,0.004672552033404732,nan,nan,25.91826596060525,13.78613397553395,0.12920509903797972,0.0046725520333487135,406898.3754637159,24
uav_oblique,xyz_polar_staged,0.0,0,True,True,21.999374803957895,0.7000000000000012,0.004672552033404732,1.3545115472761766,0.004672552033404732,0.5543957014534674,0.3063513419770814,0.05529432922800174,0.001999655063079255,905.8570359800335,59
uav_oblique,xyz_uv_joint,0.0,1,True,False,21.999942146809403,0.7000000000000015,0.004672552033404732,nan,nan,21.983046842119073,6.599147863510632,0.12920509897600746,0.004672552031107558,216455.41629145917,21
uav_oblique,xyz_polar_cov_joint,0.0,1,False,False,21.999942146809403,0.7000000000000015,0.004672552033404732,nan,nan,11.059024885159404,6.5708191827760825,0.3106905614360861,0.011235762561922623,12469.367470930993,150
uav_oblique,xyz_polar_staged,0.0,1,True,True,21.999942146809403,0.7000000000000015,0.004672552033404732,1.7659407248782266,0.004672552033404732,0.5543952194650191,0.30635107512952675,0.05529432996030425,0.001999655089562123,905.8570359811405,72
uav_oblique,xyz_uv_joint,0.0,2,True,False,21.996423378327403,0.700000000000001,0.004672552033404732,nan,nan,21.994173283500963,9.798329289281956,0.12920509904217403,0.004672552033500395,235488.71581622158,21
uav_oblique,xyz_polar_cov_joint,0.0,2,True,False,21.996423378327403,0.700000000000001,0.004672552033404732,nan,nan,27.166419222056497,10.290946622335808,0.1292050990650273,0.004672552034326857,367026.1883241398,21
uav_oblique,xyz_polar_staged,0.0,2,True,True,21.996423378327403,0.700000000000001,0.004672552033404732,1.6284495330098758,0.004672552033404732,0.5543957883393036,0.30635141521273573,0.055294329168506635,0.001999655060927684,905.8570359800257,62
uav_oblique,xyz_uv_joint,30.0,0,True,False,40.587097234899296,0.7000000000000007,0.004672552033404732,nan,nan,40.36176987178455,7.856122285953151,0.12920509903849298,0.004672552033367274,463949.63236671395,26
uav_oblique,xyz_polar_cov_joint,30.0,0,True,False,40.587097234899296,0.7000000000000007,0.004672552033404732,nan,nan,40.3617698704889,10.833930523197767,0.12920509904688945,0.004672552033670924,499546.5347782935,25
uav_oblique,xyz_polar_staged,30.0,0,True,True,40.587097234899296,0.7000000000000007,0.004672552033404732,1.7462898334814603,0.004672552033404732,0.5543953435503671,0.3063511261651237,0.055294330467271086,0.0019996551078959885,905.8570359801749,92
uav_oblique,xyz_uv_joint,30.0,1,True,False,38.491693444962884,0.7000000000000012,0.004672552033404732,nan,nan,38.49169340489762,10.040603671322776,0.1292050990193025,0.004672552032673273,433300.65842736524,19
uav_oblique,xyz_polar_cov_joint,30.0,1,True,False,38.491693444962884,0.7000000000000012,0.004672552033404732,nan,nan,45.8322619493682,8.415888342649334,0.12920509903847532,0.004672552033366636,412937.83891380444,31
uav_oblique,xyz_polar_staged,30.0,1,True,True,38.491693444962884,0.7000000000000012,0.004672552033404732,1.816576609505285,0.004672552033404732,0.5543958616139222,0.3063514762018137,0.05529432925368896,0.001999655064008203,905.8570359800115,95
uav_oblique,xyz_uv_joint,30.0,2,False,False,37.074849278486084,0.7000000000000004,0.004672552033404732,nan,nan,9.983574730982076,5.681324062609632,0.4096227532223101,0.014813530137167338,13670.660466855572,150
uav_oblique,xyz_polar_cov_joint,30.0,2,False,False,37.074849278486084,0.7000000000000004,0.004672552033404732,nan,nan,18.51046542964209,18.754937341350377,0.5833971538510061,0.02109787909125072,17614.15664848641,150
uav_oblique,xyz_polar_staged,30.0,2,True,True,37.074849278486084,0.7000000000000004,0.004672552033404732,1.753704671609159,0.004672552033404732,0.5543959475333274,0.30635150853504317,0.055294325823537514,0.0019996549399607685,905.8570359802947,89
uav_oblique,xyz_uv_joint,60.0,0,True,False,68.51172867437677,0.7000000000000012,0.004672552033404732,nan,nan,68.5117286376445,22.602680594033583,0.1292050990395728,0.004672552033406325,598578.378687504,23
uav_oblique,xyz_polar_cov_joint,60.0,0,True,False,68.51172867437677,0.7000000000000012,0.004672552033404732,nan,nan,68.51172862148886,28.77375845397023,0.12920509896783028,0.00467255203081184,442251.0640163387,22
uav_oblique,xyz_polar_staged,60.0,0,True,True,68.51172867437677,0.7000000000000012,0.004672552033404732,1.316914481955631,0.004672552033404732,0.5543953387249067,0.3063511028713572,0.05529432678989156,0.0019996549749078376,905.857035980596,102
uav_oblique,xyz_uv_joint,60.0,1,True,False,68.38051715941579,0.7000000000000012,0.004672552033404732,nan,nan,68.3805171506878,10.803732416731183,0.1292050990279829,0.00467255203298719,564098.2574557001,23
uav_oblique,xyz_polar_cov_joint,60.0,1,True,False,68.38051715941579,0.7000000000000012,0.004672552033404732,nan,nan,149.98871885811766,247224.21626220032,0.12920509903278377,0.004672552033160807,598132.3649781274,38
uav_oblique,xyz_polar_staged,60.0,1,True,True,68.38051715941579,0.7000000000000012,0.004672552033404732,1.6845925997921787,0.004672552033404732,0.5543961025750486,0.3063515828773333,0.055294323114773655,0.001999654842001476,905.8570359804893,104
uav_oblique,xyz_uv_joint,60.0,2,True,False,68.87085882482064,0.7000000000000017,0.004672552033404732,nan,nan,68.26671018600267,7.736557731812495,0.12920509904519878,0.004672552033609782,657218.2115895364,24
uav_oblique,xyz_polar_cov_joint,60.0,2,True,False,68.87085882482064,0.7000000000000017,0.004672552033404732,nan,nan,78.70586697439923,30.59799734918973,0.12920509903434846,0.004672552033217392,464590.4932262876,34
uav_oblique,xyz_polar_staged,60.0,2,True,True,68.87085882482064,0.7000000000000017,0.004672552033404732,61.555396625280245,0.004672552033404732,0.5543956227314509,0.30635130388538256,0.055294329841027515,0.0019996550852486184,905.857035980031,116
uav_oblique,xyz_uv_joint,100.0,0,True,False,106.52766062868348,0.7000000000000012,0.004672552033404732,nan,nan,139.89902689292404,7922707.072978425,0.12920509892475382,0.004672552029254031,842589.296173658,20
uav_oblique,xyz_polar_cov_joint,100.0,0,True,False,106.52766062868348,0.7000000000000012,0.004672552033404732,nan,nan,156.71787607241146,136042121.70998704,0.12920509942448352,0.004672552047326173,776555.3653925073,18
uav_oblique,xyz_polar_staged,100.0,0,True,True,106.52766062868348,0.7000000000000012,0.004672552033404732,1.4733025508707278,0.004672552033404732,0.5543953486900741,0.3063511113142678,0.05529433280300264,0.0019996551923650015,905.8570359806705,112
uav_oblique,xyz_uv_joint,100.0,1,True,False,106.77190516366392,0.7000000000000007,0.004672552033404732,nan,nan,106.77190518293627,21.42879271987171,0.12920509904024968,0.004672552033430803,894830.5393736686,23
