method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_uv_joint,0.0,0,False,False,23.960695611622874,0.9279638246871772,nan,21.804729652197217,21.808865474232892,0.24457136468515378,0.9023732602310908,0.23048316085103498,0.3019947510335679,0.22317493485747064,34889.102737833,90
ba_polar_plain_joint,0.0,0,False,False,23.960695611622874,0.9279638246871772,nan,23.959222816372783,23.998737327135167,0.002141715277199393,3.0900766904947496,0.6662966355329438,3.174801513265525,0.6611164814370362,15044.505150283658,90
ba_polar_cov_joint,0.0,0,False,False,23.960695611622874,0.9279638246871772,nan,13.839540366259234,2.8400988523142585,12.885123923284283,2.2147983901295962,0.255856141647696,2.1885714806953778,0.20886474858833526,16344.000749008297,90
ba_polar_staged,0.0,0,False,True,23.960695611622874,0.9279638246871772,0.8667810023015451,0.866183863973037,0.7592926131199479,0.4349501678208969,0.6366021197491101,0.10526298881627055,0.15746544263300016,0.0924957622192068,5163.409518850625,85
ba_uv_joint,0.0,1,False,False,23.96051979625895,0.9487109632867949,nan,18.758600067985093,12.056481253357061,16.167235231119054,5.120433541950257,4.044291612044278,5.2080319128163985,4.044291612044278,19022.18986512012,90
ba_polar_plain_joint,0.0,1,False,False,23.96051979625895,0.9487109632867949,nan,23.95099612771969,23.99244895657776,0.006855623890761768,6.3478073710439284,4.956952221021764,6.48585797085943,5.068904971274197,18996.34900968033,90
ba_polar_cov_joint,0.0,1,False,False,23.96051979625895,0.9487109632867949,nan,23.956972978423426,23.9988134498294,0.008094931020033207,6.542037925008577,5.451400045304715,6.703003716244892,5.7575809574152785,42143.99163039355,90
ba_polar_staged,0.0,1,False,True,23.96051979625895,0.9487109632867949,0.2867274756988694,0.2861797340508642,0.17941788682722493,0.20958116441566685,0.6583336573772084,0.06919475349601908,0.23416876486071928,0.06614004879784538,5280.667785098401,83
ba_uv_joint,0.0,2,False,False,23.96569384707793,0.7912880462326403,nan,23.955069250560037,23.99045676754453,0.003745553621799376,1.7188272003149687,0.21933523870116742,1.5353859322190306,0.21287193620910388,39464.394785727054,90
ba_polar_plain_joint,0.0,2,False,False,23.96569384707793,0.7912880462326403,nan,23.92612293067841,23.961805331814197,0.004989994431330512,6.135639180891862,4.453574822407628,6.2843614546232835,4.608388789426652,22956.928316363985,90
ba_polar_cov_joint,0.0,2,False,False,23.96569384707793,0.7912880462326403,nan,23.950565957871454,23.98643866530281,0.005416867279836928,4.594252813345566,3.6665561802686018,4.6851303973815295,3.763406095820911,44355.15139511529,90
ba_polar_staged,0.0,2,False,True,23.96569384707793,0.7912880462326403,0.08663156738606291,0.086911420284949,0.027461323050193012,0.08925787648198787,0.6482888557298304,0.06425931348705452,0.2029038050663415,0.058377551924839295,5485.008069867678,89
ba_uv_joint,0.0,3,False,False,23.9720147397581,0.8112394937437809,nan,23.96651334411749,23.995104172794374,0.0033374116633541557,6.954070437323416,5.506103887131892,7.102376001943085,5.823070846394689,33000.79536204447,90
ba_polar_plain_joint,0.0,3,False,False,23.9720147397581,0.8112394937437809,nan,23.962893346286783,23.991628878332175,0.004183695603988377,6.4779822618853045,4.804170315550294,6.619187930995076,5.131557639394434,20968.886619632787,90
ba_polar_cov_joint,0.0,3,False,False,23.9720147397581,0.8112394937437809,nan,18.204310892143596,17.152189499580317,8.070670284973218,6.335915539200452,4.813670675651776,6.489878647728492,4.865638093042685,23284.077220017414,90
ba_polar_staged,0.0,3,False,True,23.9720147397581,0.8112394937437809,0.22849454128298077,0.12401475881376373,0.07556018339507779,0.11122366029583039,0.6343539561320094,0.05462141006136291,0.15758114125184686,0.04950780279766423,5130.440009523121,86
ba_uv_joint,0.0,4,False,False,23.956857662217004,0.911193755973896,nan,23.953674591408966,23.996938903578084,0.0005387194020263512,4.7585629169817665,4.222799483712883,4.817402799133266,4.222799483712883,36865.89647651336,90
ba_polar_plain_joint,0.0,4,False,False,23.956857662217004,0.911193755973896,nan,23.945179302791335,23.99034722313189,0.008074893086438968,6.475426416128451,4.865638576217236,6.633699305171057,5.076556962012264,23338.403962200435,90
ba_polar_cov_joint,0.0,4,False,False,23.956857662217004,0.911193755973896,nan,23.95831667592683,24.002863825227895,0.005358684831331154,5.732967731982468,4.759484501571091,5.865885376990839,4.804133953308073,41051.47478679421,90
ba_polar_staged,0.0,4,False,True,23.956857662217004,0.911193755973896,0.5805945164023032,0.5806297002132901,0.27035164087396646,0.5752255294352546,0.6572354416023212,0.071607534206206,0.23129854810345093,0.07098534179138322,5619.433963565042,86
ba_uv_joint,0.0,5,False,False,23.96301525975088,0.7578760934432881,nan,16.59737632737055,16.28338730494111,5.133491909643838,0.8907347604845874,0.6784350716905596,0.6661701249115864,0.6720978900973431,13658.312635571236,90
ba_polar_plain_joint,0.0,5,False,False,23.96301525975088,0.7578760934432881,nan,23.962033865962436,23.99915282421551,0.0012589359566345256,1.9189901533414322,0.6650785657913594,1.8250774039202031,0.6555857188827057,14707.795396205656,90
ba_polar_cov_joint,0.0,5,False,False,23.96301525975088,0.7578760934432881,nan,35.41799095928245,23.99939966573382,29.04390274302131,2.709044852472381,0.7353128310176733,2.6969701081375708,0.7274247185929308,23771.790281031423,90
ba_polar_staged,0.0,5,False,True,23.96301525975088,0.7578760934432881,1.5345703030161109,1.534432055972725,0.8564140815509907,1.4742388430159032,0.6487540132554882,0.10992834227774823,0.2048851444307931,0.10833326194165319,5302.245861116829,89
ba_uv_joint,30.0,0,False,False,37.387336427292745,0.6303086144865688,nan,37.385951159621854,23.99945820334257,29.99857827043391,2.3228357194100937,0.7605600234138401,2.304876471531156,0.7598935888608825,18123.858636488058,90
ba_polar_plain_joint,30.0,0,False,False,37.387336427292745,0.6303086144865688,nan,37.38654936179178,23.999482525218824,29.999352612190144,2.307430253655472,0.7723743410522625,2.3196211188090206,0.7723743410522625,8991.081278823352,90
ba_polar_cov_joint,30.0,0,False,False,37.387336427292745,0.6303086144865688,nan,9.028483205684077,8.990490983071128,0.19089151221926673,0.9057947787245068,0.4255183924252057,0.4325892916909972,0.42079895397939165,16602.226735153792,90
ba_polar_staged,30.0,0,False,True,37.387336427292745,0.6303086144865688,0.8577426649374805,0.857349137938244,0.8105139202441203,0.3174955607149639,0.6882274076768329,0.1163497627921456,0.3118177865822803,0.11020210243882725,5580.622358339921,93
ba_uv_joint,30.0,1,False,False,35.16354607987758,0.6512357320403089,nan,29.145727606331924,14.785025325827181,27.819423735994828,3.8802461150616803,0.5917304368519136,3.8947212438457344,0.5742229445651292,17942.851205271854,90
ba_polar_plain_joint,30.0,1,False,False,35.16354607987758,0.6512357320403089,nan,35.16282842391913,23.99832548225723,30.000182174639434,3.4149068698733154,0.7254872768972533,3.423381316263884,0.7153598945857294,16290.819102062542,90
ba_polar_cov_joint,30.0,1,False,False,35.16354607987758,0.6512357320403089,nan,37.26085136646241,23.998011645945112,32.79499489638775,3.7979472233693845,0.7332209745161404,3.8078990950170715,0.721114220613286,28221.173924148163,90
ba_polar_staged,30.0,1,False,True,35.16354607987758,0.6512357320403089,0.5628723947727093,0.5629420758973268,0.19668784878247947,0.5761850179478761,0.6456499635771712,0.06782771178184016,0.19341360608852276,0.06125484555380736,5359.799706466763,92
ba_uv_joint,30.0,2,False,False,37.62400252208829,0.694846931219929,nan,37.62249927502348,23.999852870588175,29.99817770770408,2.3056650801774365,0.772942856895571,2.2863489258544694,0.7717485421229102,19581.906083263635,90
ba_polar_plain_joint,30.0,2,False,False,37.62400252208829,0.694846931219929,nan,37.623065784319145,23.999948162471192,29.998837997787724,2.93998598500712,0.7849501516283771,2.871500183838922,0.7818138195383566,10357.253683905239,90
ba_polar_cov_joint,30.0,2,False,False,37.62400252208829,0.694846931219929,nan,37.62268398241849,23.999682439658798,29.998532497492242,2.8440065752018864,0.782335011330163,2.8579989083878554,0.7769263150478118,20641.010080866577,90
ba_polar_staged,30.0,2,False,True,37.62400252208829,0.694846931219929,0.5456131198696329,0.5449560770558914,0.42107624336058613,0.3082793969150964,0.6557319196548943,0.08228026366191338,0.22621124640290724,0.07463893982803074,5506.762314683898,90
ba_uv_joint,30.0,3,False,False,37.45260679860162,0.8312214892937112,nan,37.45171938320922,23.998184096436137,30.000179262889407,2.66808636222,0.801461053440486,2.6725757758632387,0.7945399177944794,22979.68225519609,90
ba_polar_plain_joint,30.0,3,False,False,37.45260679860162,0.8312214892937112,nan,37.452137896830656,23.999105967245626,30.000057532870418,2.455937966584737,0.7764646523661709,2.477675073569507,0.7690268558885309,12669.364413017316,90
ba_polar_cov_joint,30.0,3,False,False,37.45260679860162,0.8312214892937112,nan,37.451665390086376,23.998554189571944,29.999838679287087,1.8896528040013247,0.756011927111076,1.915815536240104,0.755518709765564,21561.8967601156,90
ba_polar_staged,30.0,3,False,True,37.45260679860162,0.8312214892937112,1.1304342086056778,1.1301305940084292,1.0557053653339983,0.35895135164353414,0.717842410118568,0.19225819437996639,0.3770024513124454,0.18032574539101676,5067.823105311793,93
