method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
uv_joint,0.0,7,True,True,0.017525381196643673,-0.016692484516927147,-0.006503600437427564,0.0031991150411078972,243.30563675202504,14,2.08343593419949,0.09576426842806245
polar_plain_joint,0.0,7,True,True,0.16672609147252182,-0.04268227209317998,-0.03250234193947252,0.16776449663224596,482.7258695619079,11,2.0797827521112393,0.0959223766185911
polar_cov_joint,0.0,7,True,True,0.012491771060179867,-0.01270016958349696,-0.0016311332319713658,0.00235467794156744,221.29599707318596,11,2.084000853030118,0.09573485042141142
polar_staged,0.0,7,True,True,0.012491747077168332,-0.012700146195269026,-0.0016311225346384655,0.002354674336745847,221.29599707319096,18,2.084000855485752,0.09573485033371991
uv_joint,0.0,8,True,True,0.01752538123823646,-0.01669248461991828,-0.006503600328372705,0.0031991150841280797,243.30563675202578,14,2.0834359342380844,0.09576426841410367
polar_plain_joint,0.0,8,True,True,0.16672591234623163,-0.04268254448509219,-0.03250257706387454,0.16776425113170254,482.72586956346635,16,2.0797827141888447,0.09592237806998134
polar_cov_joint,0.0,8,True,True,0.012491771001827095,-0.01270016950402444,-0.0016311332154118079,0.002354677981012679,221.29599707318624,13,2.0840008529757936,0.09573485044134576
polar_staged,0.0,8,True,True,0.012491747077168332,-0.01270014626547818,-0.0016311224009549815,0.0023546740954021777,221.29599707319062,16,2.084000855552054,0.09573485037521902
uv_joint,0.0,9,True,True,0.01752538127982925,-0.016692484637315912,-0.006503600465866494,0.0031991150246580683,243.3056367520263,11,2.0834359341748296,0.09576426841173465
polar_plain_joint,0.0,9,True,True,0.16672584556348044,-0.04268280293383277,-0.03250261078673605,0.16776416580991366,482.72586956633967,15,2.0797826881701424,0.09592237836280323
polar_cov_joint,0.0,9,True,True,0.012491770068182735,-0.01270016860418032,-0.0016311329910729739,0.0023546777840091223,221.29599707318604,11,2.0840008531223253,0.09573485042651564
polar_staged,0.0,9,True,True,0.012491746960462569,-0.012700146153988607,-0.0016311225442453311,0.002354674143533511,221.2959970731915,16,2.0840008555007365,0.09573485037088678
uv_joint,15.0,0,True,True,0.017525381155050885,-0.01669248450925883,-0.006503600402611622,0.003199115145821299,243.30563675202623,12,2.0834359341896724,0.09576426841704386
polar_plain_joint,15.0,0,True,True,0.1667259793344414,-0.04268218155444334,-0.03250248645152079,0.16776435157434136,482.72586956316627,16,2.0797827533802358,0.09592237739988452
