regime,method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_structure_rel_rmse,stage_rotation_error_deg,stage_structure_rel_rmse,rotation_error_deg,translation_error_m,structure_rmse_m,structure_rel_rmse,cost,nfev
local,xyz_uv_joint,0.0,0,False,True,17.999151912015915,0.24000000000000002,0.3243131374363876,nan,nan,0.811259360664646,0.09201985143119377,3.247749545485216,0.27779307332631875,1576.7771267967014,150
local,xyz_polar_cov_joint,0.0,0,True,False,17.999151912015915,0.24000000000000002,0.3243131374363876,nan,nan,18.631432762823046,0.24000009476287953,3.7916274589699,0.32431313744617807,166636.44186788477,18
local,xyz_polar_staged,0.0,0,False,True,17.999151912015915,0.24000000000000002,0.3243131374363876,1.0737069267135058,0.3243131374363876,0.2057883626567107,0.07028136387994077,2.9826997804544884,0.255122301525378,1262.7915597306187,128
local,xyz_uv_joint,0.0,1,False,True,17.994853792000775,0.24,0.3243131374363876,nan,nan,0.34234295110063934,0.04787439438948554,3.1493597749479108,0.26937740076332073,1449.390809680995,150
local,xyz_polar_cov_joint,0.0,1,False,False,17.994853792000775,0.24,0.3243131374363876,nan,nan,0.18648366789831503,0.044941715591125635,12.948731305585843,1.1075570374740837,1507.9116908775081,150
local,xyz_polar_staged,0.0,1,False,True,17.994853792000775,0.24,0.3243131374363876,1.2319026084491893,0.3243131374363876,0.14293398106977837,0.05307392010581876,2.974075707910203,0.25438464993521875,1249.8846588000843,127
local,xyz_uv_joint,0.0,2,False,True,17.99450301412222,0.24000000000000002,0.3243131374363876,nan,nan,0.8472110040218892,0.1022421906816847,3.02082023842153,0.25838289752484234,1344.7299072448695,150
local,xyz_polar_cov_joint,0.0,2,False,False,17.99450301412222,0.24000000000000002,0.3243131374363876,nan,nan,1.746872027721888,0.23940507464631589,21.613681123379344,1.8487050251473651,1881.8378825940279,150
local,xyz_polar_staged,0.0,2,False,True,17.99450301412222,0.24000000000000002,0.3243131374363876,1.1324898934685337,0.3243131374363876,0.19518495936511204,0.06982647419167073,2.982451521275678,0.25510106691990814,1268.9939588978611,129
local,xyz_uv_joint,0.0,3,False,True,17.986645610823807,0.24000000000000002,0.3243131374363876,nan,nan,2.475012592032688,0.35749143328774025,3.4239057448549546,0.2928604211384151,2596.3579593455693,150
local,xyz_polar_cov_joint,0.0,3,False,True,17.986645610823807,0.24000000000000002,0.3243131374363876,nan,nan,1.9227256264356984,0.2599791048038406,3.3655423171359105,0.28786836256712844,1986.830217115555,150
local,xyz_polar_staged,0.0,3,False,True,17.986645610823807,0.24000000000000002,0.3243131374363876,0.9253328917588276,0.3243131374363876,0.11870746888487589,0.04830175175784206,2.945744008214576,0.25196132577774255,1245.093452190411,127
local,xyz_uv_joint,30.0,0,False,False,35.711039141337395,0.24,0.3243131374363876,nan,nan,6.81273014461097,0.99029238359059,21.190376647366335,1.8124980917931885,27814.906435263554,150
local,xyz_polar_cov_joint,30.0,0,True,False,35.711039141337395,0.24,0.3243131374363876,nan,nan,35.71079074805721,0.24001113956636508,3.7916279400434045,0.3243131785943286,204582.9670593141,16
local,xyz_polar_staged,30.0,0,False,True,35.711039141337395,0.24,0.3243131374363876,1.0683069104937621,0.3243131374363876,0.11753849166278182,0.03824222852445779,2.9498066945150807,0.25230882366745727,1240.8971310553898,132
local,xyz_uv_joint,30.0,1,False,False,36.36639300062284,0.24000000000000007,0.3243131374363876,nan,nan,0.4555543477324262,0.09809339620177829,35.205670399521,3.0112825024921137,1652.507173758714,150
local,xyz_polar_cov_joint,30.0,1,False,True,36.36639300062284,0.24000000000000007,0.3243131374363876,nan,nan,0.17668964379561336,0.0537485175659784,2.90408091257487,0.2483977137380977,1255.633478183416,150
local,xyz_polar_staged,30.0,1,False,True,36.36639300062284,0.24000000000000007,0.3243131374363876,1.2940753105844758,0.3243131374363876,0.1472534910344084,0.029527710449076733,2.9164833780115047,0.24945854646002222,1235.617190559624,138
local,xyz_uv_joint,30.0,2,False,False,36.25948784419256,0.24000000000000002,0.3243131374363876,nan,nan,2.5972350313392263,0.4008423003560886,4.449404808242063,0.38057547814075715,25618.275805429595,150
local,xyz_polar_cov_joint,30.0,2,True,False,36.25948784419256,0.24000000000000002,0.3243131374363876,nan,nan,34.94414980186766,2.7266713667234095,3.7916274584231147,0.3243131373994093,172021.71869463392,17
local,xyz_polar_staged,30.0,2,False,True,36.25948784419256,0.24000000000000002,0.3243131374363876,1.2270177576287387,0.3243131374363876,0.2896198642995813,0.01350087414736124,2.9288178554043607,0.2505135638912766,1233.7565418410761,132
local,xyz_uv_joint,30.0,3,False,False,36.71830170894049,0.24,0.3243131374363876,nan,nan,0.21560068682034597,0.014770433868727749,38.06072646615964,3.255486924096308,1456.4835801685729,150
local,xyz_polar_cov_joint,30.0,3,False,False,36.71830170894049,0.24,0.3243131374363876,nan,nan,0.4359707233881071,0.03434121326542357,17.396943883550694,1.4880305393669249,1741.1648118627152,150
local,xyz_polar_staged,30.0,3,False,True,36.71830170894049,0.24,0.3243131374363876,1.284141534159772,0.3243131374363876,0.1524443475718469,0.03024572171743766,2.9365861330076064,0.25117801590016303,1234.8230458695202,135
local,xyz_uv_joint,60.0,0,False,False,63.12971886226132,0.24000000000000007,0.3243131374363876,nan,nan,0.13138436380150567,0.03787185937864949,24.837130379608556,2.1244195970558244,1475.5469628219773,150
local,xyz_polar_cov_joint,60.0,0,True,False,63.12971886226132,0.24000000000000007,0.3243131374363876,nan,nan,27.155050992393114,2.078667293057292,3.7916274598841007,0.3243131375243733,165239.4625542747,20
local,xyz_polar_staged,60.0,0,False,True,63.12971886226132,0.24000000000000007,0.3243131374363876,1.3027909861828144,0.3243131374363876,0.16254699925066393,0.02328392186549659,2.9124644057257654,0.2491147876057039,1225.3732169274724,132
local,xyz_uv_joint,60.0,1,False,False,63.17509362220013,0.24000000000000005,0.3243131374363876,nan,nan,1.3222920131159295,0.17174664817163426,37.73099796973828,3.2272839204159633,1743.643707528679,150
local,xyz_polar_cov_joint,60.0,1,True,False,63.17509362220013,0.24000000000000005,0.3243131374363876,nan,nan,62.94529789672964,0.24889555302787147,3.7916380474048665,0.32431404311758216,231755.37266551086,9
local,xyz_polar_staged,60.0,1,False,True,63.17509362220013,0.24000000000000005,0.3243131374363876,1.4800465992355873,0.3243131374363876,0.2660610630271043,0.01738642562438534,2.930915677924354,0.25069299908384934,1231.9130911124905,140
local,xyz_uv_joint,60.0,2,False,True,62.11923071954096,0.24,0.3243131374363876,nan,nan,2.0259565275215,0.34127137492772575,3.4189849806156483,0.2924395283934522,4183.769937080892,150
local,xyz_polar_cov_joint,60.0,2,False,False,62.11923071954096,0.24,0.3243131374363876,nan,nan,1.354007626750945,0.21674065454979913,30.763785948644834,2.6313502707457994,2750.664526217347,150
local,xyz_polar_staged,60.0,2,False,True,62.11923071954096,0.24,0.3243131374363876,1.0396863721527012,0.3243131374363876,0.11282187746816255,0.04193039138566407,2.9521747721619302,0.2525113748673514,1236.9578823248066,135
