regime,method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_structure_rel_rmse,stage_rotation_error_deg,stage_structure_rel_rmse,rotation_error_deg,translation_error_m,structure_rmse_m,structure_rel_rmse,cost,nfev
global,xyz_uv_joint,0.0,0,False,True,17.999151912015957,0.24000000000000002,0.1585126392115137,nan,nan,1.658269452484815,0.4311953591370045,1.3565453460398713,0.08483257473119557,4277.654435279722,150
global,xyz_polar_cov_joint,0.0,0,True,False,17.999151912015957,0.24000000000000002,0.1585126392115137,nan,nan,23.989277883429317,0.2400001531537006,2.5347525258825407,0.15851263926027082,437860.02603955875,17
global,xyz_polar_staged,0.0,0,False,True,17.999151912015957,0.24000000000000002,0.1585126392115137,0.9697598587909334,0.1585126392115137,0.2405307094496872,0.06818610599942596,1.4108522177161742,0.08822869544573451,2797.968661214538,130
global,xyz_uv_joint,0.0,1,False,True,17.989190400313753,0.24000000000000016,0.1585126392115137,nan,nan,0.4481501090261561,0.10840635138057836,1.383091733192377,0.08649267284625851,2921.6314936512026,150
global,xyz_polar_cov_joint,0.0,1,False,False,17.989190400313753,0.24000000000000016,0.1585126392115137,nan,nan,0.4324563627232047,0.10182773167459307,18.053074697004444,1.128962487566171,3672.8705598486777,150
global,xyz_polar_staged,0.0,1,False,True,17.989190400313753,0.24000000000000016,0.1585126392115137,1.020733678731643,0.1585126392115137,0.33310876342974627,0.06146424939495126,1.4272301437182937,0.08925290126058087,2827.759964510585,130
global,xyz_uv_joint,0.0,2,False,True,17.997987779793814,0.24000000000000002,0.1585126392115137,nan,nan,1.0105494965543826,0.2396597854267098,1.3825089923768439,0.08645623071483478,3860.3155420397397,150
global,xyz_polar_cov_joint,0.0,2,False,False,17.997987779793814,0.24000000000000002,0.1585126392115137,nan,nan,2.6132396442860486,0.6424360419490681,29.813719025126968,1.864423150023924,8281.32877414422,150
global,xyz_polar_staged,0.0,2,False,True,17.997987779793814,0.24000000000000002,0.1585126392115137,0.7966380986510743,0.1585126392115137,0.11737654374259167,0.04156454097469585,1.4283325203895019,0.08932183920770899,2812.0487256178467,131
global,xyz_uv_joint,0.0,3,True,False,17.998430267881904,0.24000000000000002,0.1585126392115137,nan,nan,17.998258748743243,1.4417241188370167,2.534752519758777,0.15851263887731668,327741.1607299429,17
global,xyz_polar_cov_joint,0.0,3,False,True,17.998430267881904,0.24000000000000002,0.1585126392115137,nan,nan,0.6363272248463782,0.14754169736977002,1.2816112641092585,0.08014651604259394,2900.207317216282,150
global,xyz_polar_staged,0.0,3,False,True,17.998430267881904,0.24000000000000002,0.1585126392115137,1.048159715361424,0.1585126392115137,0.30512467227180246,0.05687271140158739,1.4407542892686152,0.09009864378693463,2853.9664009013513,126
global,xyz_uv_joint,30.0,0,False,True,35.820396189767486,0.24000000000000005,0.1585126392115137,nan,nan,2.0020756541300013,0.48674606473027626,1.4675662720807907,0.09177535112461811,3193.4702026707737,150
global,xyz_polar_cov_joint,30.0,0,True,False,35.820396189767486,0.24000000000000005,0.1585126392115137,nan,nan,35.49854140045369,0.3057474731971792,2.5347528488882016,0.15851265945967066,494705.4841670735,13
global,xyz_polar_staged,30.0,0,False,True,35.820396189767486,0.24000000000000005,0.1585126392115137,0.9843503699989362,0.1585126392115137,0.34089727868538566,0.06701505804305434,1.4060613202723726,0.08792909310172349,2795.5998579826432,135
global,xyz_uv_joint,30.0,1,False,False,36.41175140595833,0.24000000000000002,0.1585126392115137,nan,nan,2.8391295739973126,0.7095766758164553,14.838235982649023,0.9279201513991933,10264.941758245644,150
global,xyz_polar_cov_joint,30.0,1,True,False,36.41175140595833,0.24000000000000002,0.1585126392115137,nan,nan,4.266301577649245,1.0706806927825778,1.930720457718053,0.12073904347728368,14834.221905049495,58
global,xyz_polar_staged,30.0,1,False,True,36.41175140595833,0.24000000000000002,0.1585126392115137,0.8073281413361653,0.1585126392115137,0.15707911583656853,0.0426907213826546,1.4105589163355128,0.08821035362519283,2772.789442258038,132
global,xyz_uv_joint,30.0,2,False,False,35.57775142967934,0.24000000000000005,0.1585126392115137,nan,nan,1.4007260530443693,0.3460972914157863,15.937723181821523,0.9966774032390094,4028.7198140311766,150
global,xyz_polar_cov_joint,30.0,2,False,True,35.57775142967934,0.24000000000000005,0.1585126392115137,nan,nan,2.159403755896036,0.5145955770259907,1.5810273496831828,0.09887072421545175,5185.882197002904,150
global,xyz_polar_staged,30.0,2,False,True,35.57775142967934,0.24000000000000005,0.1585126392115137,0.9932615475267986,0.1585126392115137,0.19032898886219662,0.0368074568690502,1.4104110166373345,0.0882011046072849,2749.326143773439,134
