method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,translation_error_m,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_uv_joint,0.0,0,False,False,23.986442863150423,0.28,0.6306155137556851,nan,23.88696616654137,0.2800661333237119,23.92677869602067,6.03723918290665,1.5666773109775456,0.21987024053165172,0.2894886709379245,0.20911927644810321,87964.07238458277,120
ba_polar_plain_joint,0.0,0,False,False,23.986442863150423,0.28,0.6306155137556851,nan,23.985069634598876,0.28000986639666503,23.998976786149115,0.0038113970346004855,3.3414913975087415,0.5525934917513335,3.4204845450914747,0.5634227317110807,59802.36789465683,120
ba_polar_cov_joint,0.0,0,False,False,23.986442863150423,0.28,0.6306155137556851,nan,23.972221902622636,0.28013802058834203,23.987565571828796,2.4600836695072665,2.37967494130279,0.4653415095151354,1.976940308550032,0.4607029553527315,82329.8122051752,120
ba_polar_staged,0.0,0,False,True,23.986442863150423,0.28,0.6306155137556851,1.5421495760573103,1.5497061380132207,0.27989445940733304,1.5500178607819075,0.41134254235592044,1.475924168309547,0.15448472156782828,0.32923863960251626,0.14522632183201264,19473.88750061571,108
ba_uv_joint,0.0,1,False,False,23.999832775359355,0.2800000000000001,0.6485677894857016,nan,23.942813071968363,0.28002396446216404,23.9887500609552,9.134902843917576,6.392769818020663,4.3559429484404895,6.266950726012063,4.305485729344309,84795.29696315041,120
ba_polar_plain_joint,0.0,1,False,False,23.999832775359355,0.2800000000000001,0.6485677894857016,nan,23.948822532379033,0.2799940758733728,23.994697827294832,0.008770538036721976,4.969729031877801,3.327593082562191,4.540891786248845,3.2404128173219195,62949.450291131405,120
ba_polar_cov_joint,0.0,1,False,False,23.999832775359355,0.2800000000000001,0.6485677894857016,nan,23.97225522519719,0.2799963247426571,23.97240566745064,17.265537625995016,4.158075264532084,3.0368420068728836,3.578571642544697,3.0318185136502835,73310.99066965925,120
ba_polar_staged,0.0,1,False,False,23.999832775359355,0.2800000000000001,0.6485677894857016,3.4666218027092315,3.4653965785055703,0.27991968642600706,3.464862602937859,1.2395476903037446,1.4603199271461456,0.2049054179457414,0.25797803580064194,0.20156829800427783,19527.314877410117,110
ba_uv_joint,0.0,2,False,False,23.989403568148948,0.28,0.691574166964641,nan,3.5279067911826343,0.2965771175693696,3.535988541173244,0.30787638104644083,0.8552394609572365,0.2674873515861609,0.27438870987036845,0.26156326065575924,13798.491625386654,120
ba_polar_plain_joint,0.0,2,False,False,23.989403568148948,0.28,0.691574166964641,nan,23.988795662670633,0.2799891403579591,23.999406729299416,0.0015639855281973736,3.902364066061729,0.7286676318615102,3.462282759969965,0.7229279184580061,68200.7347022366,120
ba_polar_cov_joint,0.0,2,False,False,23.989403568148948,0.28,0.691574166964641,nan,23.988153259692652,0.2800016102689115,23.998744159384625,0.0003725208381357927,3.8754221756191556,0.7323500913479812,3.3137423904934393,0.721539802300014,120386.31211126542,120
ba_polar_staged,0.0,2,False,True,23.989403568148948,0.28,0.691574166964641,2.0314966186937693,2.0156479926588045,0.2796874486622393,1.9484779504992817,0.8616192913262771,1.606757878232618,0.10493548604495712,0.32341315277580107,0.09949424941653585,18853.20988357483,111
ba_uv_joint,0.0,3,False,False,23.984683709028257,0.28,0.8291131327014282,nan,23.954181905893837,0.2799803142465294,23.996162788623923,0.01882229183497581,3.545980944553488,1.0876585803337693,2.9091267164244567,1.062759383037544,103783.79552237963,120
ba_polar_plain_joint,0.0,3,False,False,23.984683709028257,0.28,0.8291131327014282,nan,23.957060991747195,0.2800903428550614,23.983587537311855,0.012850397013987654,5.778342325909537,3.9158526584014473,5.458315384146068,3.8751358137840843,65946.18168367023,120
